T_2 	  1 	     794 	     243 	     960 	     330
T_2 	  2 	     842 	     343 	    1005 	     543
T_2 	  3 	     794 	     364 	     858 	     536
T_2 	  4 	     762 	     367 	     796 	     418
T_2 	  5 	     752 	     449 	     788 	     504
T_2 	  6 	    1846 	     519 	    2182 	     667
T_2 	  7 	    2360 	     524 	    2603 	     598
T_2 	  8 	    3240 	     528 	    3417 	     599
T_2 	  9 	    2636 	     529 	    3185 	     636
T_2 	 10 	    1187 	     552 	    1454 	     635
T_2 	 11 	     841 	     558 	    1034 	     676
T_2 	 12 	    1493 	     571 	    1694 	     638
T_2 	 13 	    1056 	     572 	    1126 	     629
T_2 	 14 	     135 	     587 	     379 	     643
T_2 	 15 	     552 	     588 	     757 	     674
T_2 	 16 	      54 	     610 	     109 	     631
T_2 	 17 	     493 	     614 	     554 	     657
T_2 	 18 	    2396 	     647 	    2694 	     758
T_2 	 19 	    2750 	     653 	    2873 	     718
T_2 	 20 	    2905 	     662 	    3486 	     728
T_2 	 21 	    1817 	     668 	    2144 	     741
T_2 	 22 	    2182 	     669 	    2325 	     733
T_2 	 23 	      47 	     688 	     307 	     772
T_2 	 24 	     711 	     695 	    1029 	     794
T_2 	 25 	    1217 	     701 	    1610 	     804
T_2 	 26 	     514 	     717 	     644 	     766
T_2 	 27 	    1088 	     722 	    1160 	     763
T_2 	 28 	    2917 	     724 	    3180 	     746
T_2 	 29 	    3182 	     730 	    3305 	     753
T_2 	 30 	     270 	     739 	     334 	     794
T_2 	 31 	    2388 	     768 	    2930 	     837
T_2 	 32 	    3217 	     775 	    3413 	     838
T_2 	 33 	    2975 	     779 	    3187 	     867
T_2 	 34 	    2179 	     792 	    2319 	     851
T_2 	 35 	    1853 	     796 	    1990 	     871
T_2 	 36 	    2013 	     801 	    2138 	     892
T_2 	 37 	      46 	     818 	     300 	     898
T_2 	 38 	    1147 	     823 	    1332 	     888
T_2 	 39 	     576 	     824 	     843 	     890
T_2 	 40 	    1542 	     825 	    1727 	     897
T_2 	 41 	     376 	     830 	     504 	     893
